user,fecha,location,tweet,columna_traducida,TextBlob,compound
mayca02,2019-10-10 23:59:51,,"RT @amandaschez: Resumen de la entrevista de Pablo Motos:

- ¿Eres facha?
- ¿Te dan asco los homosexuales?
- ¿Vas a echar a todos los inmig…",  amandaschez  summary of pablo motos interview    are you a facha    do homosexuals disgust you    are you going to throw all the immigrants    ,positive,-0.5994
iopp,2019-10-10 23:59:51,"Gatineau, Québec","RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…",  manhattanmanone  i could not see the program  but this cut from  santi abascal i would donate first to the amazon  because the work,positive,-0.2529
__Haridian__,2019-10-10 23:59:49,,RT @nacholeyun: Coge Pablo Motos y dedica los 3 primeros minutos del programa más esperado hasta ahora a desmontar las mentiras del @PSOE y…,  nacholeyun  take pablo motos and dedicate the first  minutes of the most anticipated program so far to dismantle the lies of  psoe and    ,positive,-0.4215
isramadrigal,2019-10-10 23:59:49,"Pinto (Madrid), España","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",  vox en    santi abascal in  el hormiguero   quot i would order the arrest of torra  the suspension of the autonomy of catalonia  close  and    ,negative,-0.34
Megawif,2019-10-10 23:59:48,Embajadores fuera!,RT @Brand_Moody: 24.000.000 más de € para crear 120 plazas de MENAS solo en la comunidad de Madrid + gastos médicos pagas y manutención. Qu…,  brand moody      to create  menas places in the community of madrid alone   paid medical expenses and maintenance  wh    ,positive,-0.34
Moseguello,2019-10-10 23:59:47,España,RT @MuyLiberal: La diferencia entre @Santi_ABASCAL y los demás es que él no pretende agradar a todo el mundo ni pide el voto de todos. @vox…,  myyliberal  the difference between  santi abascal and others is that he does not pretend to please everyone or ask everyone   s vote    vox    ,positive,-0.1695
8_albi,2019-10-10 23:59:46,"Gijón, España","RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…",  luciacuervas  abascal   quot i also represent the homosexual collective  i don   t know why we are accused of homophobes quot   santiagoabascaleh htt,positive,-0.296
PaulaDelgado0,2019-10-10 23:59:46,Málaga,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8,  albertoluni  pablo motos every time he tries to show abascal and does not get it  santiagoabascaleh    t co ,negative,0.0
stefanysasso,2019-10-10 23:59:43,,RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…,  juanfraescudero  ab abascal says in el hormiguero that he would defend the border of melilla with larger walls if necessary and send,positive,0.0
Megawif,2019-10-10 23:59:43,Embajadores fuera!,RT @Ivan_de_Vargas: Estoy orgulloso de #SantiagoAbascalEH. Me representa. Su entrevista en @El_Hormiguero es la más agresiva que ha realiza…,  ivan de vargas  i   m proud of  santiagoabascaleh  represents me  your interview in  el hormiguero is the most aggressive one he has done,positive,0.2975
Jackie_yo_soy,2019-10-10 23:59:43,,"RT @PorHispania: #santiagoabascalEH

Una buena persona, sincera, legal, respetuosa. Una persona que mira a los ojos.

Ha bordado su presenc…",  porhispania   santiagoabascaleh a good person  sincere  legal  respectful  a person who looks in the eyes  he has embroidered his presence    ,positive,0.8442
VoxEuropas,2019-10-10 23:59:42,España,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…",  vox en    santi abascal in  el hormiguero   quot we defend the law of self defense  that a person can defend their property    ,positive,0.128
robertosssrf,2019-10-10 23:59:41,Leon,"RT @Javi__ESP: El zasca del Amazonas se ha sentido hasta en la luna: ""Salvaria antes al Amazonas que a NotreDame, es más importante la obra…",  javi  esp  the amazon zasca has felt even on the moon   quot save the amazon before notredame  the work is more important    ,positive,0.7713
QUASCODAIS1,2019-10-10 23:59:41,,"RT @damepacienciaya: #SantiagoAbascalEH
Teo después de ver a Abascal en el Hormiguero https://t.co/HgQqgGNUTk",  damepacienciaya   santiagoabascaleh teo after seeing abascal in the hormiguero    t co hgqqggnutk,positive,0.0
pallaron12,2019-10-10 23:59:41,"Asturias ,Aviles.",RT @JOSEMANUELSOTO1: Aqui sentado para ver a @Santi_ABASCAL en @El_Hormiguero y me entero de q el único líder q no ha querido ir es @sanche…,     here i sat to see  santi abascal in  el hormiguero and i find out that the only leader who didn   t want to go is   sanche,positive,0.0772
rickygg17,2019-10-10 23:59:39,,"RT @GandalfGris_: Qué relajadito Pablo Motos con Santiago Abascal, igualito que con Pablenin, ¿eh? #SantiagoAbascalEH https://t.co/ucZpQbHl…",  gandalfgris   how relaxed pablo motos with santiago abascal  just like with pablenin  huh   santiagoabascaleh    t co uczpqbhl,positive,0.6908
davidruiz56,2019-10-10 23:59:39,Buenos Aires - Argentina,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",  vox en    santi abascal in  el hormiguero   quot i would order the arrest of torra  the suspension of the autonomy of catalonia  close  and    ,negative,-0.34
nosenadaya,2019-10-10 23:59:39,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…",  anabelalonso of   quot if there is a child that nobody wants and wants to adopt a gay couple  well  but a man is always preferable    ,positive,0.2263
PaulaDelgado0,2019-10-10 23:59:38,Málaga,Que vergüenza de entrevista la de Pablo Motos a Santiago Abascal que poco respeto y que poca profesionalidad.  #SantiagoAbascalEH,what an embarrassment to interview that of pablo motos to santiago abascal that little respect and little professionalism   santiagoabascaleh,negative,-0.024
msmoviedo,2019-10-10 23:59:36,"Oviedo, España","RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…",     and after this great interview i am seeing santiago abascal  with no gaps  without falling into the traps and without my,positive,0.6272
ociocenter,2019-10-10 23:59:36,,"RT @TuiteroApostol: Intentento de tirar por el suelo a @Santi_ABASCAL  solo consiguió que luciera aún más un hombre con valores, lo que no…",  tuiteroapostol  attempting to throw  santi abascal on the floor only got a man with values to look even more  what not    ,positive,0.4019
Megawif,2019-10-10 23:59:35,Embajadores fuera!,"RT @espartano533: Pablo Motos ha buscado embarrar el terreno, pero es que Santiago Abascal se explica muy bien, habla claro y sobre todo ti…",     pablo motos has sought to muddy the ground  but santiago abascal explains very well  speaks clearly and above all you,positive,0.7926
Monleon_P,2019-10-10 23:59:34,"Barcelona, España","RT @_esther_sanz: Si una mujer quiere abortar, que lo haga. Con su dinero. No con el de todos. Es así de simple.
#SantiagoAbascalEH",   esther sanz  if a woman wants to abort  let her do it  with your money  not with everyone   s  it   s that easy   santiagoabascaleh,positive,0.4404
JusaFernando,2019-10-10 23:59:34,,"RT @firerats2: Abascal repeliendo los ataques continuos, perdón, las preguntas de Pablo Motos.

#SantiagoAbascalEH https://t.co/8gz9Y3tvn8",     abascal repelling the continuous attacks  sorry  the questions of pablo motos   santiagoabascaleh    t co ,negative,-0.4939
perezlealypunto,2019-10-10 23:59:33,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…",  elentirvigo  pablo motos is the perfect progre  he calls  quot right quot  to liquidate the unborn children  he calls them  quot zygotes quot   sic  and says that    ,positive,0.5719
antmessi1,2019-10-10 23:59:32,"Albacete, España","RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…",  anabelalonso of   quot if there is a child that nobody wants and wants to adopt a gay couple  well  but a man is always preferable    ,positive,0.2263
Megawif,2019-10-10 23:59:30,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí es verdad que el PSOE nos ha utilizado para meter miedo: han dicho barbaridades de no…",  vox es    santi abascal in  el hormiguero   quot yes it is true that the psoe has used us to put fear  they have said barbarities of no    ,positive,0.0258
prodiastur,2019-10-10 23:59:30,,RT @FcoCP96: Te das cuenta de que en España no existe la verdadera libertad de expresión cuando el presentador de una cadena privada tiene…,     you realize that in spain there is no real freedom of expression when the presenter of a private network has,negative,0.4588
Megawif,2019-10-10 23:59:27,Embajadores fuera!,"RT @RodrigoDdeV13: Y al que no le guste, que no vote Vox pero mediastintas y bienquedas ya tenemos muchos.  Abascal firme en sus opiniones.…",     and who does not like it  do not vote vox but mediastintas and well wishers we already have many  abascal firm in his opinions    ,positive,0.2721
7Reconquistador,2019-10-10 23:59:26,,"RT @colinrivas: 🔴@Santi_ABASCAL EN DIRECTO EN @El_Hormiguero 

🗣@PabloMotosFans le pregunta sobre el #calentongueval y Amazonia 

😆 @Santi_…",  colinrivas     santi abascal live at  el hormiguero    pablomotosfans asks about  calentongueval and amazonia    santi ,positive,0.0
carlotipg,2019-10-10 23:59:26,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…",  anabelalonso of   quot if there is a child that nobody wants and wants to adopt a gay couple  well  but a man is always preferable    ,positive,0.2263
CIUDADANOKANE15,2019-10-10 23:59:26,,"RT @JuanfraEscudero: 🗣Santiago Abascal, @Santi_ABASCAL, está demostrando ser una persona con gran patriotismo, una persona buena, con un gr…",  juanfraescudero  antsantiago abascal   santi abascal  is proving to be a person with great patriotism  a good person  with a gr,positive,0.7906
JusaFernando,2019-10-10 23:59:25,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…",  vox en    santi abascal in  el hormiguero   quot yes  i have fought but not died  and my mouth dried more than in this interview  quot     s    ,positive,0.6232
Tannhuser1,2019-10-10 23:59:25,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…",  elentirvigo  pablo motos is the perfect progre  he calls  quot right quot  to liquidate the unborn children  he calls them  quot zygotes quot   sic  and says that    ,positive,0.5719
jrtdesing,2019-10-10 23:59:24,"Alcalá de Guadaíra, España","RT @charomerlos: #SantiagoAbascalEH
Vamos a ver, Pablo motos,  la eutanasia no es aliviar las últimas horas o días de agonía , eso ya exist…",  charomerlos   santiagoabascaleh let   s see  pablo motorcycles  euthanasia is not relieving the last hours or days of agony  that already exists    ,positive,-0.6007
JuanEmilioVare2,2019-10-10 23:59:24,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…",  elentirvigo  pablo motos is the perfect progre  he calls  quot right quot  to liquidate the unborn children  he calls them  quot zygotes quot   sic  and says that    ,positive,0.5719
cuscomita6254,2019-10-10 23:59:23,Zamora/Madrid-Torrelodones.,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""El otro día hablamos de la emergencia social que viven los españoles: la carestía de la…",  vox es    santi abascal in  el hormiguero   quot the other day we talked about the social emergency that the spaniards live  the famine of the,positive,-0.3818
Megawif,2019-10-10 23:59:22,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" (Sobre la eutanasia) Nos ponen la reflexión sobre Ramón Sampedro, un hombre en pleno us…",  vox es    santi abascal in  el hormiguero   quot  on euthanasia  they put the reflection on ramn sampedro  a man in full us,positive,0.0
Mariia_2202,2019-10-10 23:59:20,En el país de las maravillas,"RT @MontserratAmat: Bramáis contra la primera y jaleabais la segunda, os molesta un demócrata y alabáis a un terrorista, no tenéis vergüenz…",  montserratamat  you roar against the first and jelly the second  an democrat annoys you and you praise a terrorist  you have no shame    ,positive,-0.8481
josemartinez_88,2019-10-10 23:59:20,"Almería, España","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…",  vox en    santi abascal in  el hormiguero   quot we are the only ones who would not allow women rapists out of jail    ,negative,0.4168
tomas_piza3,2019-10-10 23:59:18,,"RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…",  casoaislado es  strong words of santiago abascal  president of  vox es  during his speech at el hormiguero    santiagoab    ,positive,0.5106
ociocenter,2019-10-10 23:59:17,,RT @Ro_Edp: @El_Hormiguero ¿que tal este guión  para cuando vaya Pablo Iglesias? Ya habeis marcado el liston para esta campaña...¿estareis…,  ro edp   el hormiguero how about this script for when pablo iglesias goes  you have already set the bar for this campaign     will you be    ,positive,0.0
marisaa08,2019-10-10 23:59:16,,RT @RaulAstorki: Verdades como puños. #SantiagoAbascalEH https://t.co/qothzxfcbE,  raulastorki  truths like fists   santiagoabascaleh    t co qothzxfcbe,positive,0.6486
th3marty,2019-10-10 23:59:15,,RT @Gusanno_Gris: Anormalidad en El Hormiguero... Ha sido el único invitado con el que no ha salido ningún colaborador del programa. Entrev…,  gusanno gris  abnormality in el hormiguero     he has been the only guest with whom no collaborator of the program has left  interview    ,positive,-0.296
MalulaCon,2019-10-10 23:59:14,Venezuela,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…,  igarrigavaz  what if it turns out that after the interview with  santi abascal millions of spaniards have discovered that those of vox are not even,positive,0.0
calixtaberry,2019-10-10 23:59:13,España,"RT @FroilLannister: El perdedor de esta entrevista, como de todo lo que llevamos de campaña, es Pedro Sánchez, al que Pablo Motos ha dejado…",  filillannister  the loser of this interview  like everything we have in the campaign  is pedro snchez  whom pablo motos has left    ,positive,-0.2263
prodiastur,2019-10-10 23:59:13,,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…",  agustinrosety  nobody has had an interview in the anthill like they did today to  santi abascal and it has come out more than    ,positive,0.3612
miguelsnapchez,2019-10-10 23:59:10,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…",  anabelalonso of   quot if there is a child that nobody wants and wants to adopt a gay couple  well  but a man is always preferable    ,positive,0.2263
aratobio,2019-10-10 23:59:09,"Cádiz, España",RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…,  juanfraescudero  ab abascal says in el hormiguero that he would defend the border of melilla with larger walls if necessary and send,positive,0.0
GascoJuanjo,2019-10-10 23:59:09,Torrent (Valencia) España🇪🇸,"RT @rimbaudarth: El guión de la entrevista de Pablo Motos debía ser algo así: 

⬛️ Fascista

⬛️ Xenófobo 

⬛️ Homófobo 

⬛️ Violento

⬛️ Ma…",  rimbaudarth  the script of pablo motos    interview should be something like this   fascist  xenophobe  homophobe  violent  ma,negative,-0.7684
cuscomita6254,2019-10-10 23:59:09,Zamora/Madrid-Torrelodones.,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…",  vox en    santi abascal in  el hormiguero   quot we are the only ones who would not allow women rapists out of jail    ,negative,0.4168
CeliaCoria33,2019-10-10 23:59:08,,RT @elespanolazo: #SantiagoAbascalEH Pablo Motos es un periodista objetivo que trata por igual a todos sus invitados. https://t.co/VPHtlRQn…,  elespanolazo   santiagoabascaleh pablo motos is an objective journalist who treats all his guests equally     t co vphtlrqn,positive,0.0
SEIJO_SEIJO,2019-10-10 23:59:08,Venezuela,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…",  agustinrosety  nobody has had an interview in the anthill like they did today to  santi abascal and it has come out more than    ,positive,0.3612
Megawif,2019-10-10 23:59:07,Embajadores fuera!,RT @GladiatorAstur: Pablo Motos ha hecho todo lo posible para no parecer cercano y cariñoso con @Santi_ABASCAL. Denota cierto ACOJONE de lo…,  gladiatorastur  pablo motos has done everything possible to not seem close and affectionate with  santi abascal  denotes a certain cut of    ,positive,0.4404
PajaritoEspanol,2019-10-10 23:59:07,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Yo me saqué la licencia de armas para proteger a mi padre en el País Vasco"".

 📢 #Santia…",  vox en    santi abascal in  el hormiguero   quot i got my weapons license to protect my father in the basque country quot      santia    ,positive,-0.0772
Astrid5555,2019-10-10 23:59:06,,"RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…",     pablo motos  unwittingly  is making abascal the best possible campaign making him the toughest interview he has    ,positive,0.5994
nereaalzola,2019-10-10 23:59:06,"De Bilbao, en Madrid.","RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…",     pablo motos  unwittingly  is making abascal the best possible campaign making him the toughest interview he has    ,positive,0.5994
franciacantu,2019-10-10 23:59:05,,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…,  igarrigavaz  what if it turns out that after the interview with  santi abascal millions of spaniards have discovered that those of vox are not even,positive,0.0
CoqueMalagueno,2019-10-10 23:59:04,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",  vox en    santi abascal in  el hormiguero   quot i would order the arrest of torra  the suspension of the autonomy of catalonia  close  and    ,negative,-0.34
arturo_amv15,2019-10-10 23:59:04,Mallorca,"RT @CasoAislado_Es: A ver si se enteran los progres. Pablo Motos no lo ha podido explicar mejor. #SantiagoAbascalEH. ""No sería democrático…",  casoaislado es  let   s see if the progress is known  pablo motos could not explain it better   santiagoabascaleh   quot it would not be democratic    ,positive,0.1012
turutas72,2019-10-10 23:59:04,bilbao,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…",  anabelalonso of   quot if there is a child that nobody wants and wants to adopt a gay couple  well  but a man is always preferable    ,positive,0.2263
macor972,2019-10-10 23:59:03,EL MUNDO,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",  vox en    santi abascal in  el hormiguero   quot i would order the arrest of torra  the suspension of the autonomy of catalonia  close  and    ,negative,-0.34
LAGOCHAMARACAY,2019-10-10 23:59:03,"Güigüe, Venezuela","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" El objetivo no es desenterrar a Franco. Es la excusa, el objetivo es Felipe VI y aún má…",  vox en    santi abascal in  el hormiguero   quot the goal is not to dig up franco  it   s the excuse  the goal is felipe vi and even more,positive,0.0772
JUANESPEP,2019-10-10 23:59:02,,RT @Aker54503314: #SantiagoAbascalEH Que escándalo Santiago Abascal en televisión... https://t.co/M5TVsANDqJ,      santiagoabascaleh that santiago abascal scandal on television        t co ,positive,-0.4404
Megawif,2019-10-10 23:58:59,Embajadores fuera!,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…",  agustinrosety  nobody has had an interview in the anthill like they did today to  santi abascal and it has come out more than    ,positive,0.3612
RolandoRH,2019-10-10 23:58:59,Venezuela,"RT @Crismartinezesp: Ha sido lamentable la actitud del entrevistador Pablo Motos, solo le han preguntado por temas populistas donde sabían…",  crismartinezesp  the attitude of interviewer pablo motos has been unfortunate  he has only been asked about populist issues where they knew    ,negative,-0.4588
ProVida_ProVox,2019-10-10 23:58:58,No leo DM,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…,  igarrigavaz  what if it turns out that after the interview with  santi abascal millions of spaniards have discovered that those of vox are not even,positive,0.0
CiaGom,2019-10-10 23:58:57,SAN FERMIN,RT @JJCuerda: Quien tenga falta de memoria histórica que vote a Vox para una lección inmersiva. @eljueves #SantiagoAbascalEH https://t.co/P…,  jjcuerda  who has a lack of historical memory to vote for vox for an immersive lesson   eljueves  santiagoabascaleh    t co p,positive,-0.3182
Nicole_molamazo,2019-10-10 23:58:57,,"RT @diostuitero: Gracias a la entrevista a #SantiagoAbascalEH hemos descubierto que su currículum laboral se reduce a ""una empresa que tuve…",  diostuitero  thanks to the interview with  santiagoabascaleh we have discovered that your work resume is reduced to  quot a company i had    ,positive,0.4404
MorCampos33,2019-10-10 23:58:56,Triana,RT @FerminCasad: Aprended de lo que esta diciendo Pablo Motos por favor #SantiagoAbascalEH Me parece lamentable que un programa privado ten…,  fermincasad  learn what pablo motos is saying please  santiagoabascaleh i find it unfortunate that a private program has,negative,-0.1779
JorgeRichterR,2019-10-10 23:58:56,"Concepción, Chile","RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…",   sapientiae  when a communist who has no shame in raising his fist is cool  he honors che homophobe  who laughs with whipping    ,positive,0.5423
mestremanuel,2019-10-10 23:58:56,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…",  vox en    santi abascal in  el hormiguero   quot yes  i have fought but not died  and my mouth dried more than in this interview  quot     s    ,positive,0.6232
LAGOCHAMARACAY,2019-10-10 23:58:55,"Güigüe, Venezuela",RT @Ivan_de_Vargas: Estoy orgulloso de #SantiagoAbascalEH. Me representa. Su entrevista en @El_Hormiguero es la más agresiva que ha realiza…,  ivan de vargas  i   m proud of  santiagoabascaleh  represents me  your interview in  el hormiguero is the most aggressive one he has done,positive,0.2975
Astrid5555,2019-10-10 23:58:54,,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8,  albertoluni  pablo motos every time he tries to show abascal and does not get it  santiagoabascaleh    t co ,negative,0.0
Megawif,2019-10-10 23:58:53,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…",  vox en    santi abascal in  el hormiguero   quot we defend the law of self defense  that a person can defend their property    ,positive,0.128
carlotagopu,2019-10-10 23:58:53,"Castelldefels, España","RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…",  anabelalonso of   quot if there is a child that nobody wants and wants to adopt a gay couple  well  but a man is always preferable    ,positive,0.2263
israelhaunting,2019-10-10 23:58:52,,"RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…",     and after this great interview i am seeing santiago abascal  with no gaps  without falling into the traps and without my,positive,0.6272
fimalour,2019-10-10 23:58:51,,RT @jmdelalamo: Ha sido la entrevista más seria que ha hecho El Hormiguero nunca. Es probable que la de los otros candidatos tenga otro ton…,  jmdelalamo  it was the most serious interview that el hormiguero has ever done  it is likely that the other candidates have another ton    ,positive,-0.1513
PRondan,2019-10-10 23:58:50,,RT @piojemos: #SantiagoAbascalEH Espero que miles de mujeres indecisas hayan escuchado decir al líder de Vox que un violador no debería sal…,  piojemos   santiagoabascaleh i hope that thousands of undecided women have heard the vox leader say that a rapist should not go out    ,positive,-0.5994
Skorpionss,2019-10-10 23:58:50,"Torremolinos, España",RT @El_Hormiguero: .@Santi_ABASCAL nos habla sobre sus planteamientos de cara a las elecciones #SantiagoAbascalEH https://t.co/fkYK7Xik6z,  el hormiguero     santi abascal tells us about his approach to the elections  santiagoabascaleh    t co ,positive,0.0
Megawif,2019-10-10 23:58:50,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""¿Cómo me va a molestar a mí que dos gays se besen por la calle? De ninguna manera"".

 📢…",  vox en    santi abascal in  el hormiguero   quot how will it bother me that two gay men kiss in the street  no way  quot      ,positive,-0.2023
MariaBB37965379,2019-10-10 23:58:49,"Barcelona,Reino de España 🇪🇸",RT @rimbaudarth: ¿Por qué los que estaban escandalizados con que Martínez Almeida eligiera Notre Dame hoy no aplauden que Abascal elija el…,  rimbaudarth  why those who were shocked that martnez almeida chose notre dame today do not applaud abascal choosing the    ,negative,-0.5831
